Date,Open,High,Low,Close,Adj Close,Volume
2014-08-07,94.930000,95.949997,94.099998,94.480003,86.435051,46711000
2014-08-08,94.260002,94.820000,93.279999,94.739998,86.672913,41865000
2014-08-11,95.269997,96.080002,94.839996,95.989998,87.816490,36585000
2014-08-12,96.040001,96.879997,95.610001,95.970001,87.798195,33795000
2014-08-13,96.150002,97.239998,96.040001,97.239998,88.960045,31916000
2014-08-14,97.330002,97.570000,96.800003,97.500000,89.197899,28116000
2014-08-15,97.900002,98.190002,96.860001,97.980003,89.637047,48951000
2014-08-18,98.489998,99.370003,97.980003,99.160004,90.716583,47572000
2014-08-19,99.410004,100.680000,99.320000,100.529999,91.969910,69399000
2014-08-20,100.440002,101.089996,99.949997,100.570000,92.006516,52699000
2014-08-21,100.570000,100.940002,100.110001,100.580002,92.015656,33478000
2014-08-22,100.290001,101.470001,100.190002,101.320000,92.692642,44184000
2014-08-25,101.790001,102.169998,101.279999,101.540001,92.893921,40270000
2014-08-26,101.419998,101.500000,100.860001,100.889999,92.299255,33152000
2014-08-27,101.019997,102.570000,100.699997,102.129997,93.433670,52369000
2014-08-28,101.589996,102.779999,101.559998,102.250000,93.543465,68460000
2014-08-29,102.860001,102.900002,102.199997,102.500000,93.772141,44595000
